Time,X,Y,Z,|V|,MAx,MAy,MAz,MAv
"2,244","-3,915,420","-8,883,054","440,945","9,717,695","-3,948","-9,089",908,"9,956"
"2,264","-3,984,727","-8,718,017","190,224","9,587,390","-3,933","-8,966",679,"9,823"
"2,283","-4,117,568","-8,623,924","407,493","9,565,170","-3,986","-8,826",460,"9,699"
"2,309","-4,094,918","-8,895,015","623,220","9,812,137","-4,028","-8,780",415,"9,671"
"2,324","-4,036,030","-9,126,725","551,615","9,994,545","-4,058","-8,841",443,"9,740"
"2,343","-3,874,010","-9,291,657","823,624","10,100,555","-4,031","-8,984",601,"9,868"
"2,363","-4,104,150","-9,132,615","994,532","10,061,700","-4,027","-9,111",748,"9,992"
"2,390","-4,174,635","-9,031,198","881,277","9,988,331","-4,047","-9,146",813,"10,036"
"2,403","-4,094,593","-8,938,953","783,488","9,863,287","-4,062","-9,099",871,"10,003"
"2,423","-3,979,757","-8,932,681","879,974","9,818,636","-4,088","-9,009",885,"9,933"
"2,443","-3,980,408","-8,950,350","954,271","9,841,903","-4,057","-8,963",875,"9,878"
"2,462","-3,926,328","-8,868,430","974,775","9,747,579","-3,995","-8,923",898,"9,818"
"2,483","-4,177,863","-8,863,459","812,219","9,832,351","-4,016","-8,904",905,"9,810"
"2,502","-4,167,203","-8,953,233","952,155","9,921,319","-4,063","-8,909",923,"9,836"
"2,522","-4,162,205","-8,937,766","967,698","9,906,768","-4,108","-8,906",927,"9,852"
"2,543","-4,333,160","-8,799,467","818,242","9,842,582","-4,210","-8,888",888,"9,876"
"2,563","-4,591,897","-8,482,676","859,959","9,684,051","-4,314","-8,793",900,"9,839"
"2,581","-4,415,215","-8,579,487","882,646","9,689,210","-4,376","-8,700",882,"9,781"
"2,601","-4,120,651","-8,763,065","815,245","9,717,803","-4,365","-8,656",844,"9,733"
"2,625","-3,850,528","-8,920,767","613,213","9,735,639","-4,245","-8,686",793,"9,707"
"2,641","-3,645,258","-8,962,828","319,636","9,681,031","-4,008","-8,807",658,"9,706"
"2,661","-3,925,092","-8,622,210","161,197","9,474,958","-3,885","-8,817",477,"9,652"
"2,680","-4,146,633","-8,615,544","149,954","9,562,670","-3,892","-8,780",311,"9,614"
"2,705","-4,202,255","-8,699,236","210,039","9,663,320","-3,980","-8,725",210,"9,595"
"2,720","-4,235,745","-8,787,860","540,860","9,770,391","-4,127","-8,681",266,"9,618"
"2,740","-4,238,235","-8,898,318","605,743","9,874,696","-4,206","-8,750",377,"9,718"
"2,761","-4,069,741","-9,077,846","514,753","9,961,679","-4,186","-8,866",468,"9,818"
"2,789","-3,888,241","-9,124,187","232,199","9,920,843","-4,108","-8,972",473,"9,882"
"2,800","-3,878,253","-9,126,716","203,785","9,918,634","-4,019","-9,057",389,"9,919"
"2,820","-4,096,699","-8,974,617","327,469","9,870,863","-3,983","-9,076",320,"9,918"
"2,840","-4,057,348","-8,963,691","652,133","9,860,786","-3,980","-9,047",354,"9,893"
"2,866","-4,107,588","-9,035,037","897,663","9,965,439","-4,035","-9,025",520,"9,904"
"2,881","-3,900,681","-9,078,630","934,945","9,925,269","-4,041","-9,013",703,"9,906"
"2,899","-3,880,829","-8,989,040","715,024","9,817,074","-3,987","-9,017",800,"9,892"
"2,919","-4,160,615","-8,924,482","450,617","9,856,985","-4,012","-9,007",750,"9,891"
"2,945","-4,299,823","-8,767,710","452,121","9,775,767","-4,060","-8,940",638,"9,844"
"2,961","-4,273,506","-8,889,834","270,487","9,867,379","-4,154","-8,893",472,"9,829"
"2,978","-4,045,166","-9,062,436","224,729","9,926,813","-4,195","-8,911",349,"9,857"
"2,998","-4,065,508","-9,173,623","249,916","10,037,240","-4,171","-8,973",299,"9,902"
"3,022","-4,163,201","-9,184,952","409,849","10,092,748","-4,137","-9,078",289,"9,981"
"3,038","-4,187,794","-8,944,699","345,330","9,882,536","-4,115","-9,091",307,"9,985"
"3,058","-4,188,560","-8,907,292","143,710","9,844,011","-4,151","-9,053",287,"9,964"
"3,077","-4,278,419","-8,585,712","78,913","9,592,995","-4,204","-8,906",244,"9,853"
"3,103","-4,378,554","-8,722,546","197,158","9,761,834","-4,258","-8,790",191,"9,770"
"3,117","-4,412,964","-8,907,953","556,240","9,956,670","-4,315","-8,781",244,"9,789"
"3,138","-4,382,462","-8,970,662","865,332","10,021,355","-4,363","-8,797",424,"9,833"
"3,157","-4,355,867","-8,906,536","1,313,229","10,001,226","-4,382","-8,877",733,"9,935"
"3,182","-4,599,281","-8,945,810","1,169,702","10,126,653","-4,438","-8,933",976,"10,026"
"3,197","-4,646,159","-8,870,115","831,315","10,047,728","-4,496","-8,923","1,045","10,049"
"3,217","-4,676,316","-8,729,049","592,431","9,920,444","-4,569","-8,863",977,"10,024"
"3,236","-4,608,359","-8,689,343","820,253","9,869,878","-4,633","-8,809",853,"9,991"
"3,259","-4,217,348","-8,872,691","832,627","9,859,206","-4,537","-8,790",769,"9,924"
"3,276","-4,189,978","-8,920,805","618,978","9,875,212","-4,423","-8,803",716,"9,881"
"3,296","-4,189,240","-8,840,139","381,329","9,789,954","-4,301","-8,831",663,"9,849"
"3,316","-4,179,098","-8,752,253","219,788","9,701,294","-4,194","-8,846",513,"9,806"
"3,338","-4,375,643","-8,764,129","437,066","9,805,469","-4,233","-8,819",414,"9,793"
"3,355","-4,409,210","-8,947,285","515,816","9,988,048","-4,288","-8,826",388,"9,821"
"3,375","-4,339,510","-8,913,536","664,879","9,936,022","-4,326","-8,844",459,"9,858"
"3,395","-4,265,903","-8,943,062","791,322","9,939,943","-4,348","-8,892",602,"9,917"
"3,419","-4,101,995","-9,071,410","589,625","9,973,189","-4,279","-8,969",640,"9,959"
"3,435","-4,208,910","-8,965,471","530,641","9,918,477","-4,229","-8,973",644,"9,942"
"3,455","-4,411,920","-8,910,031","606,614","9,961,008","-4,247","-8,972",630,"9,948"
"3,475","-4,436,178","-9,058,529","707,994","10,111,275","-4,290","-9,001",609,"9,991"
"3,500","-4,310,693","-9,289,043","583,285","10,257,126","-4,342","-9,056",607,"10,062"
"3,515","-4,257,915","-9,220,291","689,798","10,179,363","-4,354","-9,119",647,"10,127"
"3,534","-4,486,475","-9,105,628","864,489","10,187,652","-4,373","-9,168",711,"10,184"
"3,554","-4,544,856","-8,922,606","1,102,587","10,073,942","-4,400","-9,134",810,"10,175"
"3,582","-4,299,393","-9,038,486","850,909","10,045,051","-4,397","-9,072",877,"10,122"
"3,595","-3,504,939","-9,436,603","21,759","10,066,506","-4,209","-9,126",710,"10,093"
"3,613","-3,390,822","-9,341,103","-144,045","9,938,542","-3,935","-9,185",458,"10,031"
"3,634","-3,762,392","-8,981,637","-54,798","9,737,987","-3,739","-9,199",168,"9,947"
"3,658","-4,415,310","-8,658,602","191,460","9,721,265","-3,768","-9,104",4,"9,866"
